videoID,label
0015dff3,00151
003c097f,00664
00a2e365,00822
00a5ebb7,00353
00f3a5ec,00630
02b68a7e,00281
03023f6f,00442
0341157b,00121
03985539,00487
03f4e347,00663
049bde05,00206
05648036,00244
063757f9,00039
06396f97,00281
07569070,00337
07d4d931,00788
07e76f44,00160
086d5c96,00666
092f448c,00644
09e26570,00676
0aadda10,00654
0bd1567a,00837
0c3d5589,00782
0c44ec51,00763
0c4e68f6,00463
0c8f2e9c,00346
0cf80f02,00630
0d0aba37,00673
0eca0fe5,00076
0f0763ae,00614
12404b68,00276
12a53f03,00325
12a8967a,00377
1379b383,00657
13f9664d,00406
14b946bf,00407
15b091ee,00055
15f6fec1,00723
1617aa10,00287
1695b602,00821
16fee693,00149
17139a72,00045
17dc5d81,00259
186a37b4,00455
18e490d5,00257
18f51374,00502
195b0428,00727
1980e4a0,00626
19b5ea4f,00090
19b67388,00383
1af10736,00423
1b93d3ee,00247
1dce7423,00567
1e82ab42,00361
1e848914,00100
1f18378e,00199
1fa89853,00846
207fe619,00624
20cc4185,00432
20ccffbe,00039
2152c0c6,00230
222cc9b3,00740
2424cf0d,00048
245f764d,00063
24b272bc,00712
25376271,00723
2569a81b,00827
2634079f,00351
26cf5405,00433
26d22da1,00070
2744af86,00028
27ea725b,00647
28801112,00230
296fe5aa,00421
2a03a76e,00497
2c31b333,00171
2cfc9eb7,00603
2d035c92,00604
2d35375a,00206
2d5d038f,00282
2db0afb4,00102
2dd7dd97,00269
2e3e757d,00494
2e5803c5,00444
2e92ed5e,00051
303f229d,00804
307b2a52,00740
316095eb,00712
3183ecec,00433
3197231f,00148
31e4aea8,00240
322d98e8,00359
32893350,00279
34739462,00701
34fe50f1,00355
351ffaf6,00528
3730e389,00692
375d0193,00785
3810fef4,00602
38710ed9,00457
38ca54a8,00045
3972bd6e,00502
3b90ae83,00468
3c7f4ff4,00281
3d7923f4,00735
3df707a5,00103
3e158768,00759
3e1b5a18,00772
3ecdf336,00770
3f953cbc,00454
40146ea9,00414
4033a06c,00160
403eaede,00521
41899f90,00181
4406ae0c,00028
4480f379,00251
448edfea,00479
4526c936,00643
4666574b,00624
46e9798a,00430
490f9437,00676
493571e5,00312
4994bd1e,00031
49c57e71,00413
4a058b63,00655
4a9c1556,00598
4b0937a5,00491
4b687616,00082
4b693957,00564
4b87f896,00833
4bee39af,00505
4c016fa1,00723
4c5c56e6,00239
4cd4095b,00611
4dc48a28,00628
4e0af365,00400
4e68b3ce,00125
501382d6,00419
50193ff7,00668
516e96c1,00833
52317932,00377
525c7b22,00509
52cdcd23,00437
538eb835,00652
5530519d,00602
554ac6d1,00229
5675986c,00678
569ae526,00446
56d5919f,00172
57caca2c,00241
58a8466f,00437
59d311a1,00546
5a61dbbe,00303
5af4c1c3,00823
5c6ea781,00261
5cbebf89,00384
5d14e80e,00279
5da311dc,00467
5e9114d7,00772
5f39cc38,00019
5f776417,00146
5f8930cd,00023
60823f9e,00570
6089c362,00707
61157992,00276
61c61fbc,00389
6294e0f6,00669
64630efb,00782
66a1b1c9,00479
66f0fc94,00352
68288d5c,00474
